Sexo;Edad;Nacionalidad;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Hombres;4 años;Española;Total Nacional;;;2023;171.939
Hombres;4 años;Extranjera;Total Nacional;;;2023;28.501
Hombres;5 años;Total;Total Nacional;;;2023;214.698
Hombres;5 años;Española;Total Nacional;;;2023;185.637
Hombres;5 años;Extranjera;Total Nacional;;;2023;29.061
Hombres;6 años;Total;Total Nacional;;;2023;225.565
Hombres;6 años;Española;Total Nacional;;;2023;195.620
Hombres;6 años;Extranjera;Total Nacional;;;2023;29.945
Hombres;7 años;Total;Total Nacional;;;2023;231.943
Hombres;7 años;Española;Total Nacional;;;2023;201.797
Hombres;7 años;Extranjera;Total Nacional;;;2023;30.146
Hombres;8 años;Total;Total Nacional;;;2023;236.850
Hombres;8 años;Española;Total Nacional;;;2023;206.199
Hombres;8 años;Extranjera;Total Nacional;;;2023;30.651
Hombres;9 años;Total;Total Nacional;;;2023;234.395
Hombres;9 años;Española;Total Nacional;;;2023;204.448
Hombres;9 años;Extranjera;Total Nacional;;;2023;29.947
Hombres;10 años;Total;Total Nacional;;;2023;248.245
Hombres;10 años;Española;Total Nacional;;;2023;218.126
Hombres;10 años;Extranjera;Total Nacional;;;2023;30.119
Hombres;11 años;Total;Total Nacional;;;2023;254.156
Hombres;11 años;Española;Total Nacional;;;2023;224.657
Hombres;11 años;Extranjera;Total Nacional;;;2023;29.499
Hombres;12 años;Total;Total Nacional;;;2023;259.729
Hombres;12 años;Española;Total Nacional;;;2023;229.900
Hombres;12 años;Extranjera;Total Nacional;;;2023;29.829
Hombres;13 años;Total;Total Nacional;;;2023;264.723
Hombres;13 años;Española;Total Nacional;;;2023;235.347
Hombres;13 años;Extranjera;Total Nacional;;;2023;29.376
Hombres;14 años;Total;Total Nacional;;;2023;276.257
Hombres;14 años;Española;Total Nacional;;;2023;247.505
Hombres;14 años;Extranjera;Total Nacional;;;2023;28.752
Hombres;15 años;Total;Total Nacional;;;2023;266.390
Hombres;15 años;Española;Total Nacional;;;2023;239.355
Hombres;15 años;Extranjera;Total Nacional;;;2023;27.035
Hombres;16 años;Total;Total Nacional;;;2023;265.790
Hombres;16 años;Española;Total Nacional;;;2023;238.388
Hombres;16 años;Extranjera;Total Nacional;;;2023;27.402
Hombres;17 años;Total;Total Nacional;;;2023;261.546
Hombres;17 años;Española;Total Nacional;;;2023;232.754
Hombres;17 años;Extranjera;Total Nacional;;;2023;28.792
Hombres;18 años;Total;Total Nacional;;;2023;264.715
Hombres;18 años;Española;Total Nacional;;;2023;232.355
Hombres;18 años;Extranjera;Total Nacional;;;2023;32.360
Hombres;19 años;Total;Total Nacional;;;2023;262.996
Hombres;19 años;Española;Total Nacional;;;2023;228.016
Hombres;19 años;Extranjera;Total Nacional;;;2023;34.980
Hombres;20 años;Total;Total Nacional;;;2023;258.128
Hombres;20 años;Española;Total Nacional;;;2023;220.377
Hombres;20 años;Extranjera;Total Nacional;;;2023;37.751
Hombres;21 años;Total;Total Nacional;;;2023;258.220
Hombres;21 años;Española;Total Nacional;;;2023;217.366
Hombres;21 años;Extranjera;Total Nacional;;;2023;40.854
Hombres;22 años;Total;Total Nacional;;;2023;262.775
Hombres;22 años;Española;Total Nacional;;;2023;218.486
Hombres;22 años;Extranjera;Total Nacional;;;2023;44.289
Hombres;23 años;Total;Total Nacional;;;2023;256.872
Hombres;23 años;Española;Total Nacional;;;2023;210.978
Hombres;23 años;Extranjera;Total Nacional;;;2023;45.894
Hombres;24 años;Total;Total Nacional;;;2023;253.109
Hombres;24 años;Española;Total Nacional;;;2023;204.454
Hombres;24 años;Extranjera;Total Nacional;;;2023;48.655
Hombres;25 años;Total;Total Nacional;;;2023;257.588
Hombres;25 años;Española;Total Nacional;;;2023;205.362
Hombres;25 años;Extranjera;Total Nacional;;;2023;52.226
Hombres;26 años;Total;Total Nacional;;;2023;256.337
Hombres;26 años;Española;Total Nacional;;;2023;201.748
Hombres;26 años;Extranjera;Total Nacional;;;2023;54.589
Hombres;27 años;Total;Total Nacional;;;2023;259.688
Hombres;27 años;Española;Total Nacional;;;2023;201.807
Hombres;27 años;Extranjera;Total Nacional;;;2023;57.881
Hombres;28 años;Total;Total Nacional;;;2023;263.513
Hombres;28 años;Española;Total Nacional;;;2023;203.350
Hombres;28 años;Extranjera;Total Nacional;;;2023;60.163
Hombres;29 años;Total;Total Nacional;;;2023;271.644
Hombres;29 años;Española;Total Nacional;;;2023;210.752
Hombres;29 años;Extranjera;Total Nacional;;;2023;60.892
Hombres;30 años;Total;Total Nacional;;;2023;278.630
Hombres;30 años;Española;Total Nacional;;;2023;215.724
Hombres;30 años;Extranjera;Total Nacional;;;2023;62.906
Hombres;31 años;Total;Total Nacional;;;2023;278.189
Hombres;31 años;Española;Total Nacional;;;2023;215.002
Hombres;31 años;Extranjera;Total Nacional;;;2023;63.187
Hombres;32 años;Total;Total Nacional;;;2023;280.693
Hombres;32 años;Española;Total Nacional;;;2023;216.155
Hombres;32 años;Extranjera;Total Nacional;;;2023;64.538
Hombres;33 años;Total;Total Nacional;;;2023;284.117
Hombres;33 años;Española;Total Nacional;;;2023;219.412
Hombres;33 años;Extranjera;Total Nacional;;;2023;64.705
Hombres;34 años;Total;Total Nacional;;;2023;288.457
Hombres;34 años;Española;Total Nacional;;;2023;222.984
Hombres;34 años;Extranjera;Total Nacional;;;2023;65.473
Hombres;35 años;Total;Total Nacional;;;2023;291.210
Hombres;35 años;Española;Total Nacional;;;2023;225.906
Hombres;35 años;Extranjera;Total Nacional;;;2023;65.304
Hombres;36 años;Total;Total Nacional;;;2023;296.284
Hombres;36 años;Española;Total Nacional;;;2023;232.269
Hombres;36 años;Extranjera;Total Nacional;;;2023;64.015
Hombres;37 años;Total;Total Nacional;;;2023;306.067
Hombres;37 años;Española;Total Nacional;;;2023;241.703
Hombres;37 años;Extranjera;Total Nacional;;;2023;64.364
Hombres;38 años;Total;Total Nacional;;;2023;316.872
Hombres;38 años;Española;Total Nacional;;;2023;252.324
Hombres;38 años;Extranjera;Total Nacional;;;2023;64.548
Hombres;39 años;Total;Total Nacional;;;2023;327.420
Hombres;39 años;Española;Total Nacional;;;2023;262.685
Hombres;39 años;Extranjera;Total Nacional;;;2023;64.735
Hombres;40 años;Total;Total Nacional;;;2023;345.547
Hombres;40 años;Española;Total Nacional;;;2023;278.962
Hombres;40 años;Extranjera;Total Nacional;;;2023;66.585
Hombres;41 años;Total;Total Nacional;;;2023;360.609
Hombres;41 años;Española;Total Nacional;;;2023;294.706
Hombres;41 años;Extranjera;Total Nacional;;;2023;65.903
Hombres;42 años;Total;Total Nacional;;;2023;377.916
Hombres;42 años;Española;Total Nacional;;;2023;310.092
Hombres;42 años;Extranjera;Total Nacional;;;2023;67.824
Hombres;43 años;Total;Total Nacional;;;2023;387.343
Hombres;43 años;Española;Total Nacional;;;2023;322.480
Hombres;43 años;Extranjera;Total Nacional;;;2023;64.863
Hombres;44 años;Total;Total Nacional;;;2023;404.745
Hombres;44 años;Española;Total Nacional;;;2023;340.937
Hombres;44 años;Extranjera;Total Nacional;;;2023;63.808
Hombres;45 años;Total;Total Nacional;;;2023;410.843
Hombres;45 años;Española;Total Nacional;;;2023;348.654
Hombres;45 años;Extranjera;Total Nacional;;;2023;62.189
Hombres;46 años;Total;Total Nacional;;;2023;416.290
Hombres;46 años;Española;Total Nacional;;;2023;356.780
Hombres;46 años;Extranjera;Total Nacional;;;2023;59.510
Hombres;47 años;Total;Total Nacional;;;2023;413.579
Hombres;47 años;Española;Total Nacional;;;2023;356.781
Hombres;47 años;Extranjera;Total Nacional;;;2023;56.798
Hombres;48 años;Total;Total Nacional;;;2023;408.632
Hombres;48 años;Española;Total Nacional;;;2023;354.632
Hombres;48 años;Extranjera;Total Nacional;;;2023;54.000
Hombres;49 años;Total;Total Nacional;;;2023;397.587
Hombres;49 años;Española;Total Nacional;;;2023;348.055
Hombres;49 años;Extranjera;Total Nacional;;;2023;49.532
Hombres;50 años;Total;Total Nacional;;;2023;394.484
Hombres;50 años;Española;Total Nacional;;;2023;346.289
Hombres;50 años;Extranjera;Total Nacional;;;2023;48.195
Hombres;51 años;Total;Total Nacional;;;2023;386.474
Hombres;51 años;Española;Total Nacional;;;2023;341.803
Hombres;51 años;Extranjera;Total Nacional;;;2023;44.671
Hombres;52 años;Total;Total Nacional;;;2023;379.656
Hombres;52 años;Española;Total Nacional;;;2023;335.479
Hombres;52 años;Extranjera;Total Nacional;;;2023;44.177
Hombres;53 años;Total;Total Nacional;;;2023;373.092
Hombres;53 años;Española;Total Nacional;;;2023;332.049
Hombres;53 años;Extranjera;Total Nacional;;;2023;41.043
Hombres;54 años;Total;Total Nacional;;;2023;367.586
Hombres;54 años;Española;Total Nacional;;;2023;328.357
Hombres;54 años;Extranjera;Total Nacional;;;2023;39.229
Hombres;55 años;Total;Total Nacional;;;2023;367.472
Hombres;55 años;Española;Total Nacional;;;2023;331.307
Hombres;55 años;Extranjera;Total Nacional;;;2023;36.165
